numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion_us
4;auspol2019;STL_UnorderedMap;170000;5249
4;auspol2019;STL_UnorderedMap;180000;5576
5;auspol2019;Hash_Abierto;10000;627
5;auspol2019;Hash_Abierto;20000;1305
5;auspol2019;Hash_Abierto;30000;1952
5;auspol2019;Hash_Abierto;40000;2529
5;auspol2019;Hash_Abierto;50000;3111
5;auspol2019;Hash_Abierto;60000;3698
5;auspol2019;Hash_Abierto;70000;4248
5;auspol2019;Hash_Abierto;80000;4833
5;auspol2019;Hash_Abierto;90000;5381
5;auspol2019;Hash_Abierto;100000;5880
5;auspol2019;Hash_Abierto;110000;6427
5;auspol2019;Hash_Abierto;120000;6960
5;auspol2019;Hash_Abierto;130000;7533
5;auspol2019;Hash_Abierto;140000;8033
5;auspol2019;Hash_Abierto;150000;8638
5;auspol2019;Hash_Abierto;160000;9365
5;auspol2019;Hash_Abierto;170000;9989
5;auspol2019;Hash_Abierto;180000;10520
5;auspol2019;Cerrado_Lineal;10000;555
5;auspol2019;Cerrado_Lineal;20000;1176
5;auspol2019;Cerrado_Lineal;30000;1828
5;auspol2019;Cerrado_Lineal;40000;2358
5;auspol2019;Cerrado_Lineal;50000;2835
5;auspol2019;Cerrado_Lineal;60000;3306
5;auspol2019;Cerrado_Lineal;70000;3748
5;auspol2019;Cerrado_Lineal;80000;4558
5;auspol2019;Cerrado_Lineal;90000;4978
5;auspol2019;Cerrado_Lineal;100000;5376
5;auspol2019;Cerrado_Lineal;110000;5767
5;auspol2019;Cerrado_Lineal;120000;6208
5;auspol2019;Cerrado_Lineal;130000;6696
5;auspol2019;Cerrado_Lineal;140000;7042
5;auspol2019;Cerrado_Lineal;150000;7708
5;auspol2019;Cerrado_Lineal;160000;8360
5;auspol2019;Cerrado_Lineal;170000;8866
5;auspol2019;Cerrado_Lineal;180000;9263
5;auspol2019;Cerrado_Cuadratico;10000;372
5;auspol2019;Cerrado_Cuadratico;20000;762
5;auspol2019;Cerrado_Cuadratico;30000;1149
5;auspol2019;Cerrado_Cuadratico;40000;1504
5;auspol2019;Cerrado_Cuadratico;50000;1982
5;auspol2019;Cerrado_Cuadratico;60000;2374
5;auspol2019;Cerrado_Cuadratico;70000;2723
5;auspol2019;Cerrado_Cuadratico;80000;3081
5;auspol2019;Cerrado_Cuadratico;90000;3432
5;auspol2019;Cerrado_Cuadratico;100000;3753
5;auspol2019;Cerrado_Cuadratico;110000;4063
5;auspol2019;Cerrado_Cuadratico;120000;4450
5;auspol2019;Cerrado_Cuadratico;130000;4805
5;auspol2019;Cerrado_Cuadratico;140000;5192
5;auspol2019;Cerrado_Cuadratico;150000;5582
5;auspol2019;Cerrado_Cuadratico;160000;5985
5;auspol2019;Cerrado_Cuadratico;170000;6369
5;auspol2019;Cerrado_Cuadratico;180000;6697
5;auspol2019;Cerrado_Doble;10000;551
5;auspol2019;Cerrado_Doble;20000;1145
5;auspol2019;Cerrado_Doble;30000;1735
5;auspol2019;Cerrado_Doble;40000;2284
5;auspol2019;Cerrado_Doble;50000;2849
5;auspol2019;Cerrado_Doble;60000;3433
5;auspol2019;Cerrado_Doble;70000;4007
5;auspol2019;Cerrado_Doble;80000;4561
5;auspol2019;Cerrado_Doble;90000;5099
5;auspol2019;Cerrado_Doble;100000;5633
5;auspol2019;Cerrado_Doble;110000;6156
5;auspol2019;Cerrado_Doble;120000;6680
5;auspol2019;Cerrado_Doble;130000;7256
5;auspol2019;Cerrado_Doble;140000;7789
5;auspol2019;Cerrado_Doble;150000;8350
5;auspol2019;Cerrado_Doble;160000;8976
5;auspol2019;Cerrado_Doble;170000;9549
5;auspol2019;Cerrado_Doble;180000;10062
5;auspol2019;STL_UnorderedMap;10000;274
5;auspol2019;STL_UnorderedMap;20000;591
5;auspol2019;STL_UnorderedMap;30000;897
5;auspol2019;STL_UnorderedMap;40000;1163
5;auspol2019;STL_UnorderedMap;50000;1446
5;auspol2019;STL_UnorderedMap;60000;1732
5;auspol2019;STL_UnorderedMap;70000;2006
5;auspol2019;STL_UnorderedMap;80000;2296
5;auspol2019;STL_UnorderedMap;90000;2570
5;auspol2019;STL_UnorderedMap;100000;2831
5;auspol2019;STL_UnorderedMap;110000;3077
5;auspol2019;STL_UnorderedMap;120000;3324
5;auspol2019;STL_UnorderedMap;130000;3566
5;auspol2019;STL_UnorderedMap;140000;3798
5;auspol2019;STL_UnorderedMap;150000;4067
5;auspol2019;STL_UnorderedMap;160000;4370
5;auspol2019;STL_UnorderedMap;170000;4664
5;auspol2019;STL_UnorderedMap;180000;4937
6;auspol2019;Hash_Abierto;10000;368
6;auspol2019;Hash_Abierto;20000;751
6;auspol2019;Hash_Abierto;30000;1148
6;auspol2019;Hash_Abierto;40000;1495
6;auspol2019;Hash_Abierto;50000;1849
6;auspol2019;Hash_Abierto;60000;2223
6;auspol2019;Hash_Abierto;70000;2575
6;auspol2019;Hash_Abierto;80000;2955
6;auspol2019;Hash_Abierto;90000;3290
6;auspol2019;Hash_Abierto;100000;3623
6;auspol2019;Hash_Abierto;110000;3936
6;auspol2019;Hash_Abierto;120000;4245
6;auspol2019;Hash_Abierto;130000;4553
6;auspol2019;Hash_Abierto;140000;4858
6;auspol2019;Hash_Abierto;150000;5200
6;auspol2019;Hash_Abierto;160000;5582
6;auspol2019;Hash_Abierto;170000;5933
6;auspol2019;Hash_Abierto;180000;6242
6;auspol2019;Cerrado_Lineal;10000;346
6;auspol2019;Cerrado_Lineal;20000;714
6;auspol2019;Cerrado_Lineal;30000;1131
6;auspol2019;Cerrado_Lineal;40000;1529
6;auspol2019;Cerrado_Lineal;50000;1901
6;auspol2019;Cerrado_Lineal;60000;2289
6;auspol2019;Cerrado_Lineal;70000;2649
6;auspol2019;Cerrado_Lineal;80000;3034
6;auspol2019;Cerrado_Lineal;90000;3387
6;auspol2019;Cerrado_Lineal;100000;3722
6;auspol2019;Cerrado_Lineal;110000;4058
6;auspol2019;Cerrado_Lineal;120000;4378
6;auspol2019;Cerrado_Lineal;130000;4696
6;auspol2019;Cerrado_Lineal;140000;5005
6;auspol2019;Cerrado_Lineal;150000;5382
6;auspol2019;Cerrado_Lineal;160000;5808
6;auspol2019;Cerrado_Lineal;170000;6188
6;auspol2019;Cerrado_Lineal;180000;6513
6;auspol2019;Cerrado_Cuadratico;10000;346
6;auspol2019;Cerrado_Cuadratico;20000;709
6;auspol2019;Cerrado_Cuadratico;30000;1082
6;auspol2019;Cerrado_Cuadratico;40000;1432
6;auspol2019;Cerrado_Cuadratico;50000;1768
6;auspol2019;Cerrado_Cuadratico;60000;2120
6;auspol2019;Cerrado_Cuadratico;70000;2467
6;auspol2019;Cerrado_Cuadratico;80000;2814
6;auspol2019;Cerrado_Cuadratico;90000;3129
6;auspol2019;Cerrado_Cuadratico;100000;3440
6;auspol2019;Cerrado_Cuadratico;110000;3743
6;auspol2019;Cerrado_Cuadratico;120000;4044
6;auspol2019;Cerrado_Cuadratico;130000;4359
6;auspol2019;Cerrado_Cuadratico;140000;4655
6;auspol2019;Cerrado_Cuadratico;150000;4995
6;auspol2019;Cerrado_Cuadratico;160000;5370
6;auspol2019;Cerrado_Cuadratico;170000;5718
6;auspol2019;Cerrado_Cuadratico;180000;6027
6;auspol2019;Cerrado_Doble;10000;552
6;auspol2019;Cerrado_Doble;20000;1125
6;auspol2019;Cerrado_Doble;30000;1994
6;auspol2019;Cerrado_Doble;40000;2631
6;auspol2019;Cerrado_Doble;50000;3209
6;auspol2019;Cerrado_Doble;60000;3873
6;auspol2019;Cerrado_Doble;70000;4478
6;auspol2019;Cerrado_Doble;80000;5080
6;auspol2019;Cerrado_Doble;90000;5650
6;auspol2019;Cerrado_Doble;100000;6192
6;auspol2019;Cerrado_Doble;110000;6756
6;auspol2019;Cerrado_Doble;120000;7284
6;auspol2019;Cerrado_Doble;130000;7825
6;auspol2019;Cerrado_Doble;140000;8342
6;auspol2019;Cerrado_Doble;150000;8916
6;auspol2019;Cerrado_Doble;160000;9588
6;auspol2019;Cerrado_Doble;170000;10188
6;auspol2019;Cerrado_Doble;180000;10744
6;auspol2019;STL_UnorderedMap;10000;285
6;auspol2019;STL_UnorderedMap;20000;571
6;auspol2019;STL_UnorderedMap;30000;861
6;auspol2019;STL_UnorderedMap;40000;1121
6;auspol2019;STL_UnorderedMap;50000;1389
6;auspol2019;STL_UnorderedMap;60000;1666
6;auspol2019;STL_UnorderedMap;70000;1933
6;auspol2019;STL_UnorderedMap;80000;2227
6;auspol2019;STL_UnorderedMap;90000;2485
6;auspol2019;STL_UnorderedMap;100000;2734
6;auspol2019;STL_UnorderedMap;110000;2971
6;auspol2019;STL_UnorderedMap;120000;3218
6;auspol2019;STL_UnorderedMap;130000;3452
6;auspol2019;STL_UnorderedMap;140000;3675
6;auspol2019;STL_UnorderedMap;150000;3947
6;auspol2019;STL_UnorderedMap;160000;4300
6;auspol2019;STL_UnorderedMap;170000;4594
6;auspol2019;STL_UnorderedMap;180000;4842
7;auspol2019;Hash_Abierto;10000;404
7;auspol2019;Hash_Abierto;20000;804
7;auspol2019;Hash_Abierto;30000;1196
7;auspol2019;Hash_Abierto;40000;1549
7;auspol2019;Hash_Abierto;50000;1895
7;auspol2019;Hash_Abierto;60000;2237
7;auspol2019;Hash_Abierto;70000;2569
7;auspol2019;Hash_Abierto;80000;2901
7;auspol2019;Hash_Abierto;90000;3192
7;auspol2019;Hash_Abierto;100000;3473
7;auspol2019;Hash_Abierto;110000;3741
7;auspol2019;Hash_Abierto;120000;4007
7;auspol2019;Hash_Abierto;130000;4269
7;auspol2019;Hash_Abierto;140000;4566
7;auspol2019;Hash_Abierto;150000;4899
7;auspol2019;Hash_Abierto;160000;5281
7;auspol2019;Hash_Abierto;170000;5643
7;auspol2019;Hash_Abierto;180000;5954
7;auspol2019;Cerrado_Lineal;10000;354
