numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion_us
4;auspol2019;Cerrado_Cuadratico;140000;1502
4;auspol2019;Cerrado_Cuadratico;150000;1622
4;auspol2019;Cerrado_Cuadratico;160000;1778
4;auspol2019;Cerrado_Cuadratico;170000;1926
4;auspol2019;Cerrado_Cuadratico;180000;2049
4;auspol2019;Cerrado_Doble;10000;82
4;auspol2019;Cerrado_Doble;20000;201
4;auspol2019;Cerrado_Doble;30000;335
4;auspol2019;Cerrado_Doble;40000;455
4;auspol2019;Cerrado_Doble;50000;621
4;auspol2019;Cerrado_Doble;60000;771
4;auspol2019;Cerrado_Doble;70000;913
4;auspol2019;Cerrado_Doble;80000;1094
4;auspol2019;Cerrado_Doble;90000;1219
4;auspol2019;Cerrado_Doble;100000;1340
4;auspol2019;Cerrado_Doble;110000;1455
4;auspol2019;Cerrado_Doble;120000;1571
4;auspol2019;Cerrado_Doble;130000;1682
4;auspol2019;Cerrado_Doble;140000;1789
4;auspol2019;Cerrado_Doble;150000;1923
4;auspol2019;Cerrado_Doble;160000;2094
4;auspol2019;Cerrado_Doble;170000;2260
4;auspol2019;Cerrado_Doble;180000;2398
4;auspol2019;STL_UnorderedMap;10000;181
4;auspol2019;STL_UnorderedMap;20000;369
4;auspol2019;STL_UnorderedMap;30000;517
4;auspol2019;STL_UnorderedMap;40000;621
4;auspol2019;STL_UnorderedMap;50000;722
4;auspol2019;STL_UnorderedMap;60000;828
4;auspol2019;STL_UnorderedMap;70000;916
4;auspol2019;STL_UnorderedMap;80000;1009
4;auspol2019;STL_UnorderedMap;90000;1081
4;auspol2019;STL_UnorderedMap;100000;1146
4;auspol2019;STL_UnorderedMap;110000;1205
4;auspol2019;STL_UnorderedMap;120000;1264
4;auspol2019;STL_UnorderedMap;130000;1329
4;auspol2019;STL_UnorderedMap;140000;1381
4;auspol2019;STL_UnorderedMap;150000;1462
4;auspol2019;STL_UnorderedMap;160000;1573
4;auspol2019;STL_UnorderedMap;170000;1661
4;auspol2019;STL_UnorderedMap;180000;1745
5;auspol2019;Hash_Abierto;10000;127
5;auspol2019;Hash_Abierto;20000;264
5;auspol2019;Hash_Abierto;30000;390
5;auspol2019;Hash_Abierto;40000;495
5;auspol2019;Hash_Abierto;50000;599
5;auspol2019;Hash_Abierto;60000;713
5;auspol2019;Hash_Abierto;70000;816
5;auspol2019;Hash_Abierto;80000;923
5;auspol2019;Hash_Abierto;90000;1019
5;auspol2019;Hash_Abierto;100000;1103
5;auspol2019;Hash_Abierto;110000;1181
5;auspol2019;Hash_Abierto;120000;1257
5;auspol2019;Hash_Abierto;130000;1331
5;auspol2019;Hash_Abierto;140000;1398
5;auspol2019;Hash_Abierto;150000;1505
5;auspol2019;Hash_Abierto;160000;1641
5;auspol2019;Hash_Abierto;170000;1758
5;auspol2019;Hash_Abierto;180000;1848
5;auspol2019;Cerrado_Lineal;10000;71
5;auspol2019;Cerrado_Lineal;20000;176
5;auspol2019;Cerrado_Lineal;30000;286
5;auspol2019;Cerrado_Lineal;40000;402
5;auspol2019;Cerrado_Lineal;50000;509
5;auspol2019;Cerrado_Lineal;60000;632
5;auspol2019;Cerrado_Lineal;70000;752
5;auspol2019;Cerrado_Lineal;80000;886
5;auspol2019;Cerrado_Lineal;90000;989
5;auspol2019;Cerrado_Lineal;100000;1091
5;auspol2019;Cerrado_Lineal;110000;1189
5;auspol2019;Cerrado_Lineal;120000;1288
5;auspol2019;Cerrado_Lineal;130000;1382
5;auspol2019;Cerrado_Lineal;140000;1472
5;auspol2019;Cerrado_Lineal;150000;1589
5;auspol2019;Cerrado_Lineal;160000;1741
5;auspol2019;Cerrado_Lineal;170000;1889
5;auspol2019;Cerrado_Lineal;180000;2010
5;auspol2019;Cerrado_Cuadratico;10000;70
5;auspol2019;Cerrado_Cuadratico;20000;176
5;auspol2019;Cerrado_Cuadratico;30000;288
5;auspol2019;Cerrado_Cuadratico;40000;395
5;auspol2019;Cerrado_Cuadratico;50000;505
5;auspol2019;Cerrado_Cuadratico;60000;632
5;auspol2019;Cerrado_Cuadratico;70000;770
5;auspol2019;Cerrado_Cuadratico;80000;899
5;auspol2019;Cerrado_Cuadratico;90000;1004
5;auspol2019;Cerrado_Cuadratico;100000;1108
5;auspol2019;Cerrado_Cuadratico;110000;1207
5;auspol2019;Cerrado_Cuadratico;120000;1308
5;auspol2019;Cerrado_Cuadratico;130000;1405
5;auspol2019;Cerrado_Cuadratico;140000;1496
5;auspol2019;Cerrado_Cuadratico;150000;1615
5;auspol2019;Cerrado_Cuadratico;160000;1771
5;auspol2019;Cerrado_Cuadratico;170000;2167
5;auspol2019;Cerrado_Cuadratico;180000;2315
5;auspol2019;Cerrado_Doble;10000;83
5;auspol2019;Cerrado_Doble;20000;202
5;auspol2019;Cerrado_Doble;30000;327
5;auspol2019;Cerrado_Doble;40000;449
5;auspol2019;Cerrado_Doble;50000;570
5;auspol2019;Cerrado_Doble;60000;707
